"|","question","department","relevance"
"2w1","Como é vista a expansão geográfica para outros locais ou pontos de venda?","gestão estratégica","true"
"2w2","Analisando as vantagens/desvantagens da localização para os clientes (segurança, vizinhança, conforto, etc.), conclui-se que a localização é inferior à média da concorrência, está no mesmo nível ou é superior?","gestão estratégica","true"
"2w3","Analisando as vantagens/desvantagens da localização quanto à disponibilidade de fornecedores e à recepção de mercadorias, conclui-se que a localização é inferior à média da concorrência, está no mesmo é superior?","gestão estratégica","false"
"2w4","Analisando as vantagens/desvantagens da localização quanto à logística de entrega das vendas, conclui-se que a localização é inferior à média da concorrência, está no mesmo nível ou tem vantagens?","gestão estratégica","false"
"2w5","Analisando as vantagens/desvantagens da localização quanto à infraestrutura do local (meios e vias de acesso, energia, telecomunicações, água, saneamento), conclui-se que a localização é inferior à média da concorrência, está no mesmo nível ou tem vantagens?","gestão estratégica","false"
"2w6","Analisando as vantagens/desvantagens da localização quanto à oferta e mobilidade da mão de obra, conclui-se que a localização é inferior à média da concorrência, está no mesmo nível ou é superior?","gestão estratégica","false"
"2w7","Analisando as vantagens/desvantagens da localização quanto ao valor pago ou amortizado pelas instalações, concluise que a localização é inferior à média da concorrência, está no mesmo nível ou é superior?","gestão estratégica","false"
"2w8","Analisando as vantagens/desvantagens da localização quanto às alíquotas/benefícios dos principais impostos, conclui-se que a localização é inferior à média da concorrência, está no mesmo nível ou é superior?","gestão estratégica","false"
"2w9","Analisando as vantagens/desvantagens da localização quanto à obtenção e manutenção das licenças locacionais legais (prefeitura, meio ambiente, bombeiros, órgão de controle específico), conclui-se que a localização é inferior à média da concorrência, está no mesmo nível ou é superior?","gestão estratégica","false"
"2w10","A vizinhança da empresa e o ambiente da localidade são aspectos favoráveis para o funcionamento do negócio?","gestão estratégica","false"
